9,9,9,9,9,9,9,9,9,9,,9
8,7,10,15,6,9,12,12,11,6,,9.6
13,7,9,13,7,10,12,12,13,6,,10.2
13,7,7,14,6,11,14,10,14,3,,9.9
15,7,7,12,6,12,10,10,13,4,,9.6
14,7,7,13,4,11,10,10,14,3,,9.3
14,8,4,12,6,9,9,9,16,4,,9.1
11,8,4,12,6,11,9,8,19,5,,9.3
13,5,3,11,6,12,9,6,12,4,,8.1
13,4,3,11,5,11,8,7,13,7,,8.2
12,2,2,11,6,11,15,6,12,9,,8.6
14,1,2,12,6,13,15,6,14,8,,9.1
16,1,1,10,8,14,15,7,14,6,,9.2
16,1,1,9,8,12,17,8,11,6,,8.9
15,1,1,9,6,11,17,7,13,5,,8.5
16,1,0,13,6,12,17,8,12,5,,9
15,1,0,15,7,11,18,8,9,7,,9.1
16,1,0,16,7,11,20,8,8,6,,9.3
15,1,0,15,7,10,20,9,8,6,,9.1
17,1,0,12,7,10,17,7,8,7,,8.6
19,1,0,12,6,11,18,5,10,8,,9
19,1,0,15,6,11,21,7,11,8,,9.9
16,0,0,14,8,11,20,6,9,11,,9.5
16,0,0,16,8,11,19,6,8,9,,9.3
18,0,0,14,8,13,19,10,10,9,,10.1
19,0,0,13,8,14,21,8,12,9,,10.4
17,0,0,12,8,12,21,8,8,8,,9.4
15,0,0,14,7,12,20,9,11,9,,9.7
17,0,0,13,8,11,20,10,10,9,,9.8
18,0,0,12,6,10,22,11,10,9,,9.8
19,0,0,12,8,10,21,7,11,9,,9.7
16,0,0,13,8,11,19,12,10,9,,9.8
17,0,0,14,7,12,19,12,10,10,,10.1
19,0,0,12,8,12,20,11,11,11,,10.4
17,0,0,12,7,12,21,9,9,7,,9.4
18,0,0,11,7,13,21,9,10,8,,9.7
17,0,0,12,7,13,21,10,9,12,,10.1
18,0,0,11,7,11,22,13,12,10,,10.4
17,0,0,11,8,14,21,9,11,9,,10
17,0,0,11,7,15,20,12,11,11,,10.4
16,0,0,11,8,13,21,10,15,9,,10.3
16,0,0,11,7,14,19,9,12,9,,9.7
16,0,0,10,7,12,22,9,11,10,,9.7
16,0,0,10,7,17,19,9,10,10,,9.8
16,0,0,9,7,16,21,11,15,9,,10.4
19,0,0,9,5,11,23,11,10,10,,9.8
18,0,0,11,7,12,22,10,12,13,,10.5
17,0,0,11,6,12,21,9,13,10,,9.9
19,0,0,14,7,13,22,10,11,9,,10.5
17,0,0,10,6,12,19,10,11,8,,9.3
17,0,0,13,6,13,21,11,10,8,,9.9
19,0,0,11,6,16,19,9,9,8,,9.7
20,0,0,9,6,15,18,11,9,10,,9.8
20,0,0,9,6,13,20,10,10,9,,9.7
20,0,0,10,8,12,21,10,13,11,,10.5
18,0,0,9,7,13,20,9,13,12,,10.1
18,0,0,9,5,16,20,8,13,10,,9.9
18,0,0,9,5,15,22,10,12,9,,10
19,0,0,10,6,12,22,11,11,11,,10.2
18,0,0,8,6,12,22,9,12,13,,10
